n_int_features,n_float_features,n_string_features,n_datetime_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,is_file_structured,is_file_semi_structured,is_file_unstructured,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,ref_no_slash
0,0,0,0,3,2,1,0,1,0,0,0,0,0,5,5,25,0.9831809816876338,0.06415864683581218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9167498539280272,0.0,0.9167406348950445,0,0.31,99441,olistbr_brazilian-ecommerce
0,2,0,0,3,2,1,0,1,0,0,1,0,0,5,5,25,0.80103,0.017032000000000002,0.0,0.0,25.471751306044883,0.6971248792902724,2.6281955062043147,1.8415896438684967,1.0,0.9226436772046878,0.017162894393942543,0.9226418319173578,0,0.42000000000000004,500000,olistbr_brazilian-ecommerce
0,0,0,5,2,6,1,0,1,0,0,0,0,1,8,8,64,0.9549003304891609,0.0023481260244768254,0.02996751842801259,76.6875,0.0,0.0,0.0,0.0,0.0,0.5276896245021739,0.0,0.5276843179422591,0,0.0,99441,olistbr_brazilian-ecommerce
0,2,0,1,4,3,1,1,1,0,0,0,0,0,7,7,49,0.6655866252404201,0.035692410119840215,0.0,0.0,16985.480209268415,6.781448641367335,90.30421379617269,22.803482018814588,1.0,0.803374253600391,0.0163139,0.8033671220047292,0,0.0,112650,olistbr_brazilian-ecommerce
0,1,0,0,3,2,1,0,1,0,0,0,0,0,5,5,25,0.6185482163140366,0.00018610143169756595,0.0,0.0,47303.21247430867,9.253875910185092,241.81674519061716,51.4976247344368,1.0,0.40160925137142905,0.01729233,0.40160538550642927,0,0.0,103886,olistbr_brazilian-ecommerce
0,0,0,2,2,5,1,0,1,0,0,0,0,1,7,7,49,0.8500610371046682,0.0032300653067806177,0.9008909134886721,2977.918367346939,0.0,0.0,0.0,0.0,0.0,0.8026626761540816,0.0,0.8026545867535728,0,0.196,99224,olistbr_brazilian-ecommerce
0,0,0,0,8,1,1,0,1,0,0,0,0,1,9,9,81,1.0,0.02153562080325124,0.018542684592273376,30.22222222222222,0.0,0.0,0.0,0.0,0.0,0.9288947530014492,0.0,0.9288663049356986,0,0.9450000000000001,32951,olistbr_brazilian-ecommerce
0,0,0,0,2,2,1,0,1,0,0,0,0,0,4,4,16,0.862843295638126,0.1024232633279483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7795491403968074,0.0,0.7792972666842466,0,0.32399999999999995,3095,olistbr_brazilian-ecommerce
0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,2,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,72,olistbr_brazilian-ecommerce
0,2,0,0,10,2,1,1,1,0,0,0,0,0,12,12,144,0.889334637964775,0.01066536203522505,0.0,0.0,1280.7156275301159,0.7174016053788014,0.34322298918192473,17.777442007219246,1.0,0.5120189037495322,0.023125,0.5119187043554521,0,1.452,5110,fedesoriano_stroke-prediction-dataset
