n_int_features,n_float_features,n_string_features,n_datetime_features,n_unkown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,ref_no_slash
19,36,0,0,0,44,18,1,1,csv,1,0,0,utf-8,0,0,1,62,62,3844,0.3803298924532087,0.07679883475779879,0.002631578947368421,0.0007804370447450572,1.6795073907770526,1.0483218309436972,2.3527083339188137,0.33829062777436536,0.6545454545454545,0.8323405158775244,0.058155272727272736,0.8301500003740366,0,0.1631578947368421,380,saife245_english-premier-league
19,39,0,0,0,35,30,1,1,csv,1,0,0,utf-8,0,0,0,65,65,4225,0.38456140350877205,0.05774436090225564,0.0,0.0,4.107971830821949,1.1386812763597018,2.5548582564637843,0.49335683452556417,0.6724137931034483,0.8027277957426548,0.058916034482758645,0.8006153541749108,0,0.0,380,saife245_english-premier-league
19,39,0,0,0,40,25,1,1,csv,1,0,0,utf-8,0,0,0,65,65,4225,0.42484210526315797,0.07289473684210526,0.0,0.0,6.136378487295824,1.1625800366382424,2.4470346707026196,0.47943696805303765,0.6724137931034483,0.8196045688098877,0.059908448275862086,0.8174477146814401,0,0.0,380,saife245_english-premier-league
19,36,0,0,0,27,35,1,1,csv,1,0,0,utf-8,0,0,0,62,62,3844,0.5489285714285715,0.07407407407407407,0.0,0.0,8.148068307599429,1.4455156761955277,4.326768713553213,0.46940839621003266,0.6545454545454545,0.7461710924761242,0.08747509090909092,0.7415075231481483,0,0.0,160,saife245_english-premier-league
16,82,0,0,0,54,52,1,1,csv,1,0,0,utf-8,0,0,0,106,106,11236,0.48335798816568054,0.10256410256410257,0.0,0.0,5.439674612350563,2.211526188034034,13.623194435049808,0.46980079588779844,0.8367346938775511,0.8576670076670078,0.08790306122448979,0.85436828840675,0,0.0,260,saife245_english-premier-league
17,0,0,0,0,0,18,1,0,csv,1,0,0,utf-8,0,0,1,18,18,324,0.9706209969367864,0.0,0.8372093023255814,1.1820987654320991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,43,saife245_english-premier-league
18,6,0,0,0,38,2,1,1,csv,1,0,0,utf-8,0,0,0,40,40,1600,0.6318713450292398,0.0268082486919052,0.0,0.0,0.08872994305888914,0.030910086571787964,0.24756732338246568,0.08851214452333572,0.25,0.6880514384148524,0.07002878687346162,0.6879508460992936,0,8.68,6840,saife245_english-premier-league
18,6,0,0,0,30,10,1,1,csv,1,0,0,utf-8,0,0,0,40,40,1600,0.42552631578947375,0.014502923976608191,0.0,0.0,0.0982817190895288,0.07148772889966255,0.20521027384449866,0.0944161559136945,0.25,0.6090005082944411,0.1723167048409103,0.6084662973222529,0,8.04,1140,saife245_english-premier-league
93,1,0,0,0,97,0,1,6,csv,1,0,0,utf-8,1,0,0,97,97,9409,0.0,0.0013374016845534363,0.0,0.0,31.557850125497858,0.0016779187667565745,-0.012817396212685237,0.4617982333136092,0.010638297872340425,0.29102860073469616,0.00017064893617021277,0.29102622324428934,0,0.0,122410,christianlillelund_csgo-round-winner-classification
2,0,0,1,0,11,4,1,0,csv,1,0,0,utf-8,0,0,1,15,15,225,0.7060078208318521,0.06770466807412621,0.20474137931034483,0.44,0.0,0.0,0.0,0.0,0.0,0.7714933006882064,0.0,0.7698207057011671,0,4.621965165376494,464,isaienkov_nba2k20-player-dataset
3,0,0,0,0,2,2,1,1,csv,1,0,0,utf-8,0,0,0,4,4,16,0.9846984698469847,0.0007000700070007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7811147788113478,0.0,0.7810366595215377,0,0.0,9999,najeedosmani_wingo-color-prediction
7,0,0,0,0,8,3,1,0,csv,1,0,0,latin1,0,0,1,11,11,121,0.6674048758259284,0.08911656298398471,0.877511961722488,11.256198347107437,0.0,0.0,0.0,0.0,0.0,0.9579803291276253,0.0,0.9569660426474598,0,1.7709999999999997,1045,hamdallak_the-world-of-pokemons
0,0,0,0,0,0,2,1,0,csv,1,0,0,utf-8,0,0,0,2,2,4,0.9806034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,232,mylesoneill_pokemon-sun-and-moon-gen-7-stats
1,0,0,0,0,0,3,1,1,csv,1,0,0,utf-8,0,0,0,3,3,9,0.9271739130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.02608695652173913,920,mylesoneill_pokemon-sun-and-moon-gen-7-stats
4,0,0,0,0,8,3,1,1,csv,1,0,0,utf-8,0,0,1,11,11,121,0.9923918212077983,0.02765318526347009,0.025677603423680456,0.1487603305785124,0.0,0.0,0.0,0.0,0.0,0.6260752140603318,0.0,0.6251790033166673,0,0.094151212553495,701,mylesoneill_pokemon-sun-and-moon-gen-7-stats
1,0,0,0,0,95,82,1,67,csv,1,0,0,utf-8,1,1,1,177,177,31329,0.46258178283137175,0.7215204431639741,0.998998998998999,3.4994733314181716,0.0,0.0,0.0,0.0,0.0,0.42123503200241724,0.0,0.37340127401178214,0,2639.1908970899717,999,mylesoneill_pokemon-sun-and-moon-gen-7-stats
0,5,0,0,0,5,1,1,1,csv,1,0,0,utf-8,0,0,0,6,6,36,1.0,0.12,0.0,0.0,0.0032000000000000023,0.0,0.12500000000000028,0.00007352941176469779,1.0,0.5066666666666667,0.25,0.4863999999999999,0,0.0,25,mylesoneill_pokemon-sun-and-moon-gen-7-stats
9,2,0,0,0,16,10,1,1,csv,1,0,0,utf-8,0,0,1,26,26,676,0.7320450316437678,0.08522442884965836,0.9839773798303487,6.448224852071006,0.007854647910090364,0.0,0.24848560629757202,0.00006277404267757972,0.18181818181818182,0.8888570813431413,0.015436363636363637,0.887757323273926,0,2.002,1061,mylesoneill_pokemon-sun-and-moon-gen-7-stats
0,18,0,0,0,20,0,1,0,csv,1,0,0,utf-8,0,0,1,20,20,400,0.0,0.020070806100217872,0.05555555555555555,0.045,0.48015101864553217,1.225255715678288,3.103752919869149,0.32728818137006666,1.0,0.6833362281735624,0.04766666666666668,0.6812185642432556,0,0.0,324,mylesoneill_pokemon-sun-and-moon-gen-7-stats
