n_int_features,n_float_features,n_string_features,n_datetime_features,n_unknown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,num_sample_files,ref_no_slash
2,8,0,0,2,6,6,1,1,csv,1,0,0,latin1,1,0,1,12,12,144,0.4132050318291903,0.10874930787551061,0.5585133098945254,13.465277777777777,2.7928113118905758e13,11.168160973958313,308.1701626350983,13.87061185164627,0.3,0.9492528668024255,0.04798898764,0.9487179977924906,0,9.42,1991,1,anbarivan_indian-water-quality-data
10,9,0,1,15,24,11,1,2,csv,1,0,0,utf-8,0,0,1,35,35,1225,0.7019280613248333,0.030634103975175266,1.0,69.5330612244898,1.5125257505708043,0.13778633632053985,0.1013476821660561,0.4258519841126556,0.47368421052631576,0.8888361048541654,0.013869097622824993,0.8885899928763314,0,45.21999999999999,10080,20,toddsteussie_nfl-play-statistics-dataset-2004-to-present
10,2,0,1,14,16,11,1,2,csv,1,0,0,utf-8,1,0,1,27,27,729,0.6912152566759663,0.02018170228784015,0.8679571663920923,77.31824417009602,14113.505262059758,0.3164689365866299,1.3242978749232859,2.8916192726457584,0.16666666666666666,0.8455452642341337,0.006372125382479711,0.8454620084786386,0,12.015,12140,20,toddsteussie_nfl-play-statistics-dataset-2004-to-present
7,0,0,0,2,7,2,1,0,csv,1,0,0,utf-8,0,0,1,9,9,81,1.0,0.026722328580648314,0.004694835680751174,0.8641975308641975,0.0,0.0,0.0,0.0,0.0,0.5453289773038403,0.0,0.5452923801397525,0,10.466999999999999,14910,20,toddsteussie_nfl-play-statistics-dataset-2004-to-present
6,0,0,0,1,4,3,1,0,csv,1,0,0,utf-8,0,0,1,7,7,49,0.7626283363737355,0.002000501333889632,0.005569056298096395,1.2040816326530612,0.0,0.0,0.0,0.0,0.0,0.586685683185539,0.0,0.5866262043862501,0,8.050007007007004,9876,20,toddsteussie_nfl-play-statistics-dataset-2004-to-present
10,1,0,1,14,25,1,1,0,csv,1,0,0,utf-8,1,0,1,26,26,676,0.3749565792738401,0.004418285898643624,0.6743291940876921,1174.8313609467457,0.07114049148434666,0.045173091748356216,0.1345125265296017,0.0537953465058487,0.09090909090909091,0.8916374020382501,0.003428742075720748,0.8916350703839288,0,25.37599999999999,423185,20,toddsteussie_nfl-play-statistics-dataset-2004-to-present
11,0,0,1,4,14,2,1,2,csv,1,0,0,utf-8,0,0,0,16,16,256,0.6011680482290882,0.02381849499407902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.911979423054145,0.0,0.9118076108041334,0,0.128,5308,20,toddsteussie_nfl-play-statistics-dataset-2004-to-present
8,0,0,0,1,7,2,1,0,csv,1,0,0,utf-8,1,0,0,9,9,81,0.5337630772482299,0.025301550399299527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5573643643643739,0.0,0.5573054650338884,0,7.749,9463,20,toddsteussie_nfl-play-statistics-dataset-2004-to-present
8,0,0,0,3,9,2,1,1,csv,1,0,0,utf-8,1,0,1,11,11,121,0.524473557970655,0.003573246552511939,0.9926389095661092,496.099173553719,0.0,0.0,0.0,0.0,0.0,0.44445497879338336,0.0,0.4444476262303057,0,10.945,60453,20,toddsteussie_nfl-play-statistics-dataset-2004-to-present
12,0,0,0,3,13,2,1,0,csv,1,0,0,utf-8,0,0,1,15,15,225,1.0,0.0004451000928974438,0.003823962598132609,3.155555555555556,0.0,0.0,0.0,0.0,0.0,0.5141880929353406,0.0,0.5141846167527248,0,17.295,148014,20,toddsteussie_nfl-play-statistics-dataset-2004-to-present
