n_int_features,n_float_features,n_string_features,n_datetime_features,n_unknown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,ref_no_slash
1,0,0,0,4,1,4,1,0,csv,1,0,0,utf-8,0,0,1,5,5,25,0.9736574196810052,0.05217831813576494,0.0010131712259371835,0.16,0.0,0.0,0.0,0.0,0.0,0.9445775312206172,0.0,0.9440990218329657,0,0.245,1974,canggih_indonesian-food-recipes
1,0,0,0,4,1,4,1,0,csv,1,0,0,utf-8,0,0,1,5,5,25,0.9498992950654582,0.04934541792547835,0.0005035246727089627,0.04,0.0,0.0,0.0,0.0,0.0,0.9387424820088225,0.0,0.938269802007809,0,0.245,1986,canggih_indonesian-food-recipes
1,0,0,0,4,1,4,1,0,csv,1,0,0,utf-8,0,0,0,5,5,25,0.9528585757271816,0.040621865596790374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9419221034906022,0.0,0.9414497253042985,0,0.20500000000000002,1994,canggih_indonesian-food-recipes
0,48,0,0,1,0,49,1,1,csv,1,0,0,utf-8,0,0,1,49,49,2401,0.9840305843194707,0.0,0.9204545454545454,2.585172844648064,46.254843070393484,-0.061861939134785326,-0.62497154117326,4.813695062499999,1.0,0.0,0.32319441018541667,0.0,0,2.784090909090909,176,nancyalaswad90_gapminder-colon-cancer
8,0,0,1,1,7,3,1,0,csv,1,0,0,utf-8,0,0,0,10,10,100,0.5328072067980091,0.06785572345102238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9500487448405502,0.0,0.9499948046404054,0,5.099999999999999,17613,riqulaziz_case-vaccination-covid19-indonesia-dataset
3,0,0,1,3,4,3,1,2,csv,1,0,0,utf-8,0,0,1,7,7,49,0.6887436345671506,0.2771860986547085,1.0,24.367346938775512,0.0,0.0,0.0,0.0,0.0,0.7234263411393456,0.0,0.722615325061835,0,0.9730941704035874,892,riqulaziz_case-vaccination-covid19-indonesia-dataset
6,1,0,1,2,5,5,1,1,csv,1,0,0,utf-8,0,0,0,10,10,100,0.9832821852875938,0.015326182735255689,0.0,0.0,119.89506211714168,0.014925997944506202,-0.17164786399648935,3.8790575120299344,0.14285714285714285,0.9819195936305146,0.0019926057375715183,0.9818897580255872,0,2.9799999999999995,32911,sinakaraji_covid-vaccination-vs-death
9,0,0,0,1,0,10,1,1,csv,1,0,0,utf-8,0,0,1,10,10,100,1.0,0.0,0.06382978723404255,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,23.829787234042552,47,anandhuh_latest-covid19-data-of-european-countries
4,0,0,0,5,8,1,1,1,csv,1,0,0,latin1,0,0,1,9,9,81,0.30781616907078163,0.003258780224505147,0.18636363636363637,337.91358024691357,0.0,0.0,0.0,0.0,0.0,0.9656123938687947,0.0,0.9655951892319652,0,0.42300000000000004,59620,moazzimalibhatti_co2-emission-by-countries-year-wise-17502022
4,2,0,0,1,0,7,1,1,csv,1,0,0,utf-8,0,0,0,7,7,49,0.7673469387755103,0.0,0.0,0.0,0.08061768707482986,0.002632114582060932,-0.2172673741007174,0.13317500000000013,0.3333333333333333,0.0,0.056333333333333326,0.0,0,1.5999999999999999,35,anandhuh_latest-covid19-cases-maharashtra-india
6,106,0,0,4,41,75,1,0,csv,1,0,0,utf-8,0,0,0,116,116,13456,0.49344522144522157,0.10605492068906706,0.0,0.0,41.69992373795215,2.209296544727508,23.94579606831992,1.6508016486426673,0.9464285714285714,0.4794874183683367,0.12940590266987334,0.47881680659439446,0,49.80699300699301,715,ruchi798_stress-analysis-in-social-media
6,106,0,0,4,80,36,1,0,csv,1,0,0,utf-8,0,0,0,116,116,13456,0.45971341320178527,0.09811486962649753,0.0,0.0,45.334830750921405,3.180482541128796,64.10995484253992,1.7991224414905633,0.9464285714285714,0.6676348205518391,0.06308188040535713,0.6673995722006929,0,67.16399999999999,2838,ruchi798_stress-analysis-in-social-media
1,10,0,0,1,0,12,1,2,csv,1,0,0,utf-8,0,0,0,12,12,144,0.9269406392694064,0.0,0.0,0.0,0.3760854086601615,-0.16355189241806084,0.3172232024324378,0.30353406818181816,0.9090909090909091,0.0,0.12284181818181818,0.0,0,0.2465753424657534,146,ajaypalsinghlo_world-happiness-report-2022
31,0,0,1,4,11,25,1,12,csv,1,0,0,utf-8,0,0,1,36,36,1296,0.698716112984557,0.22448902049547925,1.0,7.008487654320986,0.0,0.0,0.0,0.0,0.0,0.6201213122474077,0.0,0.5985328197235525,0,12.200836820083683,717,shivamb_covid19-in-singapore-latest-detailed-data
0,0,0,0,1,0,1,1,0,csv,1,0,0,utf-8,0,0,0,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.10057471264367816,348,mpwolke_cusersmarildownloadsdeathscsv
13,1,0,0,0,12,2,1,1,csv,1,0,0,utf-8,1,0,0,14,14,196,0.400990099009901,0.04317931793179317,0.0,0.0,0.0959747176980781,0.09024468032779728,0.1092994701072146,0.05688219558219557,0.07142857142857142,0.6091950254628111,0.011428571428571429,0.60718448082432,0,0.877887788778878,303,pritsheta_heart-attack
0,0,0,1,6,6,1,1,0,csv,1,0,0,utf-8,0,0,1,7,7,49,0.7375886524822695,0.030594956658786445,0.7777777777777778,13.428571428571429,0.0,0.0,0.0,0.0,0.0,0.8306709173091326,0.0,0.8295015667294479,0,0.5130023640661938,846,lisphilar_covid19-dataset-in-japan
6,0,0,1,9,12,4,1,9,csv,1,0,0,utf-8,0,0,1,16,16,256,0.49643640749711354,0.6752539069230813,1.0,1566.91015625,0.0,0.0,0.0,0.0,0.0,0.3189891675931013,0.0,0.31898262084856527,0,2.432,49444,lisphilar_covid19-dataset-in-japan
15,0,0,1,1,4,13,1,1,csv,1,0,0,utf-8,0,0,1,17,17,289,0.416582719709402,0.09809532438178742,1.0,78.72318339100343,0.0,0.0,0.0,0.0,0.0,0.3927834896625219,0.0,0.39216078503262086,0,3.4510000000000005,3247,lisphilar_covid19-dataset-in-japan
186,159,0,0,2,111,236,1,1,csv,1,0,0,utf-8,0,0,1,347,347,120409,0.7799830759749011,0.1045735414672027,0.8044607393828292,1.434967485819173,5.50351195048594e15,5.947881950970146,242.04886828974725,3.469301811939193,0.4608695652173913,0.9554007295622843,0.020633490263826083,0.9550719408762576,0,5132.202082125605,3273,jieyingwu_covid19-us-countylevel-summaries
68,0,0,0,1,67,2,1,39,csv,1,0,0,utf-8,0,0,0,69,69,4761,1.0,0.001372830310573168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020699106790774958,0.0,0.02069251891464806,0,9.867,3142,jieyingwu_covid19-us-countylevel-summaries
22,0,0,0,0,0,22,1,0,csv,1,0,0,utf-8,0,0,0,22,22,484,0.3178995794643109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.694,3221,jieyingwu_covid19-us-countylevel-summaries
22,0,0,0,0,1,21,1,0,csv,1,0,0,utf-8,0,0,0,22,22,484,0.33623098416640795,0.17944737659112078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9831713849909657,0.0,0.9828661470570966,0,1.848,3221,jieyingwu_covid19-us-countylevel-summaries
22,0,0,0,0,21,1,1,0,csv,1,0,0,utf-8,0,0,0,22,22,484,1.0,0.13927943111426502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8901605948319963,0.0,0.8898842332688691,0,1.518,3221,jieyingwu_covid19-us-countylevel-summaries
68,0,0,0,1,67,2,1,1,csv,1,0,0,utf-8,0,0,0,69,69,4761,1.0,0.00949580550462202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1312838187535085,0.0,0.13124203523385428,0,10.143000000000011,3142,jieyingwu_covid19-us-countylevel-summaries
9,0,0,0,2,9,2,1,3,csv,1,0,0,utf-8,0,0,1,11,11,121,0.8065994500458296,0.005147912156559508,0.46226703330278035,27.78512396694214,0.0,0.0,0.0,0.0,0.0,0.6833201529619003,0.0,0.6830670277940468,0,0.8029999999999999,3273,jieyingwu_covid19-us-countylevel-summaries
22,0,0,0,0,0,22,1,0,csv,1,0,0,utf-8,0,0,0,22,22,484,0.7430357596455082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.54,3221,jieyingwu_covid19-us-countylevel-summaries
6,18,0,3,1,4,24,1,0,csv,1,0,0,utf-8,0,0,1,28,28,784,0.7806652046783625,0.40029761904761907,0.9895833333333334,0.4375,2.7382670242075956e23,2.2482520339820318,15.197344834658187,6889128764.217027,0.75,0.8542401677270098,0.19237115303596972,0.8179695471938775,0,45.20833333333333,96,nightranger77_covid19-demographic-predictors
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,0.0,0.7821782178217822,0.14558984660336013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10562.632030356308,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,0.0,0.8316831683168316,0.1717037983929876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10463.33123087027,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,0.0,0.801980198019802,0.14928780131482836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9510.54086696151,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,0.0,0.6831683168316832,0.0992056245434624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10596.093364484108,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,0.0,0.8316831683168316,0.19886778670562458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7670.265310833111,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,0.0,0.40594059405940597,0.020635500365230087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10623.245271733049,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,0.9984613326197486,0.0,0.8811881188118812,0.22201424397370337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10092.596332661888,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,0.9977254482204977,0.0,0.5247524752475248,0.06793279766252741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7336.990099009908,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,0.0,0.7326732673267327,0.11527574872169462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8878.607920792083,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,0.0,0.6732673267326733,0.06715668371073777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7901.3454273574625,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,0.0,0.48514851485148514,0.027985756026296563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7703.734336073121,101,ruchi798_coronavirus-top-cities-and-trending-searches
0,0,0,0,148,0,148,1,0,csv,1,0,0,utf-8,0,0,1,148,148,21904,1.0,0.0,0.5841584158415841,0.0439645726807889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9992.595019712251,101,ruchi798_coronavirus-top-cities-and-trending-searches
