n_int_features,n_float_features,n_string_features,n_datetime_features,n_unkown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,file_type,is_file_structured,is_file_semi_structured,is_file_unstructured,encoding,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,time_diff_current_and_last_update,num_pii_entities,profiler_sample_size,ref_no_slash
1,0,0,0,0,3,7,1,0,csv,1,0,0,utf-8,1,0,1,10,10,100,0.7194131890044153,0.038036352967268434,0.7886340977068793,12.05,0.0,0.0,0.0,0.0,0.0,0.811105628169264,0.0,0.8094058923700813,0,1.3,1003,ramjasmaurya_top-1000-social-media-channels
1,0,0,0,0,3,7,1,1,csv,1,0,0,utf-8,0,0,1,10,10,100,0.7224285714285713,0.03737998503253074,0.786,11.91,0.0,0.0,0.0,0.0,0.0,0.8066816343421722,0.0,0.8049936549031885,0,1.3499999999999999,1000,ramjasmaurya_top-1000-social-media-channels
0,0,0,0,0,3,6,1,1,csv,1,0,0,utf-8,1,0,1,9,9,81,0.6620959843290891,0.04655652525011831,0.8207639569049952,15.79012345679012,0.0,0.0,0.0,0.0,0.0,0.8176478800760766,0.0,0.8157499884196938,0,1.386,1021,ramjasmaurya_top-1000-social-media-channels
14,0,0,0,0,14,1,1,0,csv,1,0,0,utf-8,0,0,1,15,15,225,1.0,0.014516914026495893,0.001787824611375413,0.7866666666666666,0.0,0.0,0.0,0.0,0.0,0.8849875863715357,0.0,0.8849786467424424,0,15.405,99003,sheenabatra_facebook-data
2,0,0,0,0,2,8,1,1,csv,1,0,0,utf-8,0,0,1,10,10,100,0.7650000000000001,0.17057971014492754,0.31,0.62,0.0,0.0,0.0,0.0,0.0,0.8438666648592588,0.0,0.8388033658895186,0,0.822463768115942,200,surajjha101_top-instagram-influencers-data-cleaned
7,2,0,0,0,10,5,1,1,csv,1,0,0,utf-8,0,0,1,15,15,225,0.647244094488189,0.04633218482380898,0.3342082239720035,3.395555555555555,4743162489.060361,1.3061580533896313,11.061502095067203,298.92487778465824,0.2222222222222222,0.8124652509299336,0.07934471637777778,0.8117083652661155,0,9.12,1143,madislemsalu_facebook-ad-campaign
3,0,0,0,0,7,1,1,0,csv,1,0,0,utf-8,0,0,1,8,8,64,0.20060935539757452,0.019025892957127886,0.09152279108668379,24.84375,0.0,0.0,0.0,0.0,0.0,0.803930005749936,0.0,0.8038813615620196,0,2.064,16739,adaoduque_campeonato-brasileiro-de-futebol
10,0,0,0,0,12,1,1,0,csv,1,0,0,utf-8,0,0,1,13,13,169,0.5,0.005581235028530452,0.7662305295950156,131.88165680473372,0.0,0.0,0.0,0.0,0.0,0.6526852201033461,0.0,0.6526200885854835,0,0.364,16050,adaoduque_campeonato-brasileiro-de-futebol
4,0,0,0,0,14,2,1,0,csv,1,0,0,utf-8,0,0,1,16,16,256,0.6145171339563863,0.014176064300269273,0.7228660436137072,83.16796875,0.0,0.0,0.0,0.0,0.0,0.871502059868046,0.0,0.8713480216604911,0,21.823999999999998,8025,adaoduque_campeonato-brasileiro-de-futebol
2,0,0,0,0,5,1,1,0,csv,1,0,0,utf-8,0,0,1,6,6,36,0.39005760080140245,0.03725141551783592,0.878412221387428,194.86111111111111,0.0,0.0,0.0,0.0,0.0,0.8509709456650857,0.0,0.8508036286452985,0,1.29,7986,adaoduque_campeonato-brasileiro-de-futebol
