,n_int_features,n_float_features,n_string_features,n_datetime_features,n_unknown_features,n_categorical_features,n_noncateg_features,is_datetime_consistent,n_ordered_features,has_duplicated_rows,has_null_rows,has_null_feature_values,n_features,n_rows,n_rows_times_features,avg_ratio_duplication_noncateg_features,avg_ratio_duplication_categ_features,ratio_features_at_least_one_null,avg_ratio_null_values_features,avg_variance_numerical_features,avg_skewness_numerical_features,avg_kurtosis_numerical_features,avg_median_dev_numerical_features,avg_n_outliers_numerical_features,avg_unalikeability_categ_features,avg_margin_error_numerical_features,avg_gini_impurity_categ_features,num_pii_entities,proxy,n_bytes_total,since_last_update
31,16,0,0,0,0,22,1,1,1,0,0,0,23,23,529,0.26052631578947366,0.034688995215311005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7182329474441682,0.0,0.7163428607403675,0.0,32.2111935103168,1170298,17738402.242271423
32,16,0,0,0,0,22,1,1,1,0,0,0,23,23,529,0.27631578947368424,0.03205741626794259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7220966784916238,0.0,0.7201964240745404,0.0,32.2111935103168,1170298,17738402.242271423
33,16,0,0,0,0,22,1,1,1,0,0,0,23,23,529,0.25,0.03325358851674642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.717757003446491,0.0,0.715868169226895,0.0,32.2111935103168,1170298,17738402.242271423
34,16,0,0,0,0,22,1,1,1,0,0,0,23,23,529,0.25263157894736843,0.03229665071770335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7204434990089761,0.0,0.7185475950642156,0.0,32.2111935103168,1170298,17738402.242271423
35,16,0,0,0,0,22,1,1,1,0,0,0,23,23,529,0.2578947368421053,0.03253588516746412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7203223037204428,0.0,0.7184267187106521,0.0,32.2111935103168,1170298,17738402.242271423
36,19,45,0,0,0,48,23,1,1,0,0,0,71,71,5041,0.36819221967963384,0.07955043859649123,0.0,0.0,4.973457696708364,1.3169790819381704,3.0579712831681087,0.46440501385750943,0.703125,0.8281453964727118,0.06883921875000001,0.825966066481994,0.0,32.2111935103168,1170298,17738402.242271423
37,19,45,0,0,0,51,20,1,1,0,0,0,71,71,5041,0.34750000000000003,0.08199174406604745,0.0,0.0,3.136788716445206,1.6401086357149746,5.66031303732826,0.3705759897682528,0.703125,0.8427214629776365,0.0681790625,0.8405037749171689,0.1868421052631579,32.2111935103168,1170298,17738402.242271423
38,19,45,0,0,0,54,17,1,1,0,0,0,71,71,5041,0.3487616099071207,0.08859649122807017,0.0,0.0,3.4589999513448975,1.225291785507812,2.641360277929303,0.4143613087089168,0.703125,0.8588989697932904,0.0691284375,0.8566387093464652,0.0,32.2111935103168,1170298,17738402.24327302
39,19,45,0,0,0,50,21,1,1,0,0,1,71,71,5041,0.3659739718689864,0.08370976253298153,0.005263157894736842,0.001190240031739734,2.4780383005645525,1.109957825266387,2.0109924792367444,0.4002483222586865,0.703125,0.8442481901029322,0.06517515624999999,0.8420259583174046,0.0,32.2111935103168,1170298,17738402.24327302
40,19,39,0,0,0,45,20,1,1,0,0,1,65,65,4225,0.39394736842105266,0.0813718982140035,0.02631578947368421,0.014201183431952664,3.6594357133040534,1.071491023654557,1.9077548352688907,0.43606500953492416,0.6724137931034483,0.8377222049382532,0.06045827586206897,0.835508626916952,0.0,32.2111935103168,1170298,17738402.24327302
41,19,39,0,0,0,42,23,1,1,0,0,1,65,65,4225,0.4061603762762417,0.07283231164983699,0.8947368421052632,0.24284023668639054,2.4782326586908137,1.046370829161725,1.9339937396583955,0.39667477271396906,0.6724137931034483,0.826929387379325,0.07145724137931037,0.8247527890274006,0.0,32.2111935103168,1170298,17738402.24327302
42,19,36,0,0,0,44,18,1,1,0,0,1,62,62,3844,0.3803298924532087,0.07679883475779879,0.002631578947368421,0.0007804370447450572,1.6795073907770526,1.0483218309436972,2.3527083339188137,0.33829062777436536,0.6545454545454545,0.8323405158775244,0.058155272727272736,0.8301500003740366,0.1631578947368421,32.2111935103168,1170298,17738402.24327302
43,19,39,0,0,0,35,30,1,1,0,0,0,65,65,4225,0.38456140350877205,0.05774436090225564,0.0,0.0,4.107971830821949,1.1386812763597018,2.5548582564637843,0.49335683452556417,0.6724137931034483,0.8027277957426548,0.058916034482758645,0.8006153541749108,0.0,32.2111935103168,1170298,17738402.24327302
44,19,39,0,0,0,40,25,1,1,0,0,0,65,65,4225,0.42484210526315797,0.07289473684210526,0.0,0.0,6.136378487295824,1.1625800366382424,2.4470346707026196,0.47943696805303765,0.6724137931034483,0.8196045688098877,0.059908448275862086,0.8174477146814401,0.0,32.2111935103168,1170298,17738402.24327302
45,19,36,0,0,0,27,35,1,1,0,0,0,62,62,3844,0.5489285714285715,0.07407407407407407,0.0,0.0,8.148068307599429,1.4455156761955277,4.326768713553213,0.46940839621003266,0.6545454545454545,0.7461710924761242,0.08747509090909092,0.7415075231481483,0.0,32.2111935103168,1170298,17738402.24327302
46,16,82,0,0,0,54,52,1,1,0,0,0,106,106,11236,0.48335798816568054,0.10256410256410257,0.0,0.0,5.439674612350563,2.211526188034034,13.623194435049808,0.46980079588779844,0.8367346938775511,0.8576670076670078,0.08790306122448979,0.85436828840675,0.0,32.2111935103168,1170298,17738402.24327302
47,17,0,0,0,0,0,18,1,0,0,0,1,18,18,324,0.9706209969367864,0.0,0.8372093023255814,1.1820987654320991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2111935103168,1170298,17738402.24327302
48,18,6,0,0,0,38,2,1,1,0,0,0,40,40,1600,0.6318713450292398,0.0268082486919052,0.0,0.0,0.08872994305888914,0.030910086571787964,0.24756732338246568,0.08851214452333572,0.25,0.6880514384148524,0.07002878687346162,0.6879508460992936,8.68,32.2111935103168,1170298,17738402.24327302
49,18,6,0,0,0,30,10,1,1,0,0,0,40,40,1600,0.42552631578947375,0.014502923976608191,0.0,0.0,0.0982817190895288,0.07148772889966255,0.20521027384449866,0.0944161559136945,0.25,0.6090005082944411,0.1723167048409103,0.6084662973222529,8.04,32.2111935103168,1170298,17738402.24327302
50,93,1,0,0,0,97,0,1,6,1,0,0,97,97,9409,0.0,0.0013374016845534363,0.0,0.0,31.557850125497858,0.0016779187667565745,-0.012817396212685237,0.4617982333136092,0.010638297872340425,0.29102860073469616,0.00017064893617021277,0.29102622324428934,0.0,35.26775917422752,3704576,83610896.24327302
51,2,0,0,1,0,11,4,1,0,0,0,1,15,15,225,0.7060078208318521,0.06770466807412621,0.20474137931034483,0.44,0.0,0.0,0.0,0.0,0.0,0.7714933006882064,0.0,0.7698207057011671,4.621965165376494,35.254330232133576,16344,9459436.24327302
52,3,0,0,0,0,2,2,1,1,0,0,0,4,4,16,0.9846984698469847,0.0007000700070007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7811147788113478,0.0,0.7810366595215377,0.0,16.834363984792468,55798,84866100.24327302
53,7,0,0,0,0,8,3,1,0,0,0,1,11,11,121,0.6674048758259284,0.08911656298398471,0.877511961722488,11.256198347107437,0.0,0.0,0.0,0.0,0.0,0.9579803291276253,0.0,0.9569660426474598,1.7709999999999997,24.99639746609061,17921,48519708.24327302
54,0,0,0,0,0,0,2,1,0,0,0,0,2,2,4,0.9806034482758621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.16609098610552,277918,107402828.24327302
55,1,0,0,0,0,0,3,1,1,0,0,0,3,3,9,0.9271739130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02608695652173913,34.16609098610552,277918,107402828.24327302
56,4,0,0,0,0,8,3,1,1,0,0,1,11,11,121,0.9923918212077983,0.02765318526347009,0.025677603423680456,0.1487603305785124,0.0,0.0,0.0,0.0,0.0,0.6260752140603318,0.0,0.6251790033166673,0.094151212553495,34.16609098610552,277918,107402828.24327302
57,1,0,0,0,0,95,82,1,67,1,1,1,177,177,31329,0.46258178283137175,0.7215204431639741,0.998998998998999,3.4994733314181716,0.0,0.0,0.0,0.0,0.0,0.42123503200241724,0.0,0.37340127401178214,2639.1908970899717,34.16609098610552,277918,107402828.24327302
58,0,5,0,0,0,5,1,1,1,0,0,0,6,6,36,1.0,0.12,0.0,0.0,0.0032000000000000023,0.0,0.12500000000000028,7.352941176469779e-05,1.0,0.5066666666666667,0.25,0.4863999999999999,0.0,34.16609098610552,277918,107402828.24327302
59,9,2,0,0,0,16,10,1,1,0,0,1,26,26,676,0.7320450316437678,0.08522442884965836,0.9839773798303487,6.448224852071006,0.007854647910090364,0.0,0.24848560629757202,6.277404267757972e-05,0.18181818181818182,0.8888570813431413,0.015436363636363637,0.887757323273926,2.002,34.16609098610552,277918,107402828.24327302
60,0,18,0,0,0,20,0,1,0,0,0,1,20,20,400,0.0,0.020070806100217872,0.05555555555555555,0.045,0.48015101864553217,1.225255715678288,3.103752919869149,0.32728818137006666,1.0,0.6833362281735624,0.04766666666666668,0.6812185642432556,0.0,34.16609098610552,277918,107402828.24327302
61,0,0,0,0,0,2,7,1,0,0,0,1,9,9,81,0.5944684207437615,0.033735104571984434,0.9857299670691547,43.46913580246913,0.0,0.0,0.0,0.0,0.0,0.49747028764559104,0.0,0.4968243090141943,0.7831912962235161,20.88516491138671,90142,145414840.24327302
62,1,0,0,0,0,2,2,1,1,0,0,1,4,4,16,0.9865884325230512,0.025313807531380753,0.0016736401673640166,0.25,0.0,0.0,0.0,0.0,0.0,0.796309795068401,0.0,0.7959766110537285,0.07200000000000001,20.88516491138671,90142,145414840.24327302
63,4,0,0,0,0,2,5,1,3,0,0,0,7,7,49,0.735,0.10250000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.0,0.4825749999999997,2.73,35.180471050616866,4640,23545337.24327302
64,1,4,0,1,0,1,6,1,2,0,0,0,7,7,49,0.7982346181970125,0.00031338138514572234,0.0,0.0,588.9995873391678,0.3375783568255197,-0.9748980368550239,19.82069735117873,0.8,0.0,0.018863200000000004,0.0,5.369,32.110476444612196,369415,19153030.24327302
65,1,4,0,1,0,1,6,1,2,0,0,0,7,7,49,0.8922490337407291,0.00031338138514572234,0.0,0.0,1689.8606620005685,0.07436888719747047,-1.2067919547972772,39.12737425909095,0.8,0.0,0.028888999999999998,0.0,6.699,32.110476444612196,369415,19153030.24327302
66,1,4,0,1,0,1,6,1,2,0,0,0,7,7,49,0.8867126292698213,0.00031338138514572234,0.0,0.0,5961.342530083374,1.0271780771290682,0.31484996530054954,21.63320400620213,0.8,0.0,0.029075799999999995,0.0,0.14700000000000002,32.110476444612196,369415,19153030.24327302
67,1,4,0,1,0,1,6,1,2,0,0,0,7,7,49,0.7893416927899687,0.00031347962382445143,0.0,0.0,269.751302957583,0.4330875599156926,-0.6138882754217333,12.577690481185469,0.8,0.0,0.022838,0.0,0.301,32.110476444612196,369415,19153030.24327302
68,1,4,0,1,0,1,6,1,2,0,0,0,7,7,49,0.8713047111668232,0.00031338138514572234,0.0,0.0,2766.968796049364,0.49154070188273274,-0.8622090050836487,20.75127225655236,0.8,0.0,0.031740199999999996,0.0,5.88,32.110476444612196,369415,19153030.24327302
69,1,4,0,1,0,1,6,1,2,0,0,0,7,7,49,0.8824451410658307,0.00031347962382445143,0.0,0.0,424.41060519490463,0.5071757112803422,-0.5121541844313172,13.069267256026261,0.8,0.0,0.0291568,0.0,3.192,32.110476444612196,369415,19153030.24327302
70,1,4,0,1,0,1,6,1,2,0,0,0,7,7,49,0.648974358974359,0.0003846153846153846,0.0,0.0,31.399629283925965,0.22440788705071305,-0.9994718441383611,4.551462642684775,0.8,0.0,0.034852,0.0,1.099,32.110476444612196,369415,19153030.24327302
71,1,4,0,1,0,1,6,1,2,0,0,0,7,7,49,0.5281377032520326,0.00038109756097560977,0.0,0.0,6.210566058489765,0.8465188924777518,0.05606479371785689,0.9937732802846291,0.8,0.0,0.023168,0.0,2.1069999999999998,32.110476444612196,369415,19153030.24327302
